,Type,Date,Ship Date,Deliv Date,Terms,Due Date,Num,P. O. #,Name,Qty,Invoiced,Backordered,Amount,Item,Rep,Open Balance,Inventory Site
Inventory,,,,,,,,,,,,,,,,,
Accessory,,,,,,,,,,,,,,,,,
Total Cbl-M12S4F-OW4-180CM1,,,,,,,,,,50,0,50,1000,,,1000,
Cbl-M12X8M-RJ45-CAT6A-500CM,,,,,,,,,,,,,,,,,
,Sales Order,08/28/2025,10/21/2025,,Prepay,08/28/2025,SO-20251236, QTD_USACE_2507093,"US Army Corps of Engineers, ERDC-IEI",8,0,8,352,Accessory:Cbl-M12X8M-RJ45-CAT6A-500CM,A689,352,WH01S-NTA
Total Cbl-M12X8M-RJ45-CAT6A-500CM,,,,,,,,,,8,0,8,352,,,352,
Cbl-MHF-RP_SMAF-15CM,,,,,,,,,,,,,,,,,
,Sales Order,07/22/2025,09/11/2025,,Net 30,08/21/2025,SO-20251027,83150,MEDATech Engineering Services Ltd.,8,0,8,32,Accessory:Cbl-MHF-RP_SMAF-15CM,A702,32,WH01S-NTA
,Sales Order,09/26/2025,12/31/2025,,Net 30,10/26/2025,SO-20251366,PO070225,"FireFly Automatix, Inc.",12,0,12,48,Accessory:Cbl-MHF-RP_SMAF-15CM,A802,48,WH01S-NTA
Total Cbl-MHF-RP_SMAF-15CM,,,,,,,,,,20,0,20,80,,,80,
Cbl-MHF-RP_SMAF-30CM,,,,,,,,,,,,,,,,,
,Sales Order,03/05/2025,04/24/2026,,Net 30,04/04/2025,SO-20250329,PO208679,Noah Medical U.S.,4,0,4,16,Accessory:Cbl-MHF-RP_SMAF-30CM,A800,16,WH01S-NTA
,Sales Order,03/05/2025,06/24/2026,,Net 30,04/04/2025,SO-20250330,PO208679,Noah Medical U.S.,10,0,10,40,Accessory:Cbl-MHF-RP_SMAF-30CM,A800,40,WH01S-NTA
,Sales Order,03/05/2025,08/25/2026,,Net 30,04/04/2025,SO-20250331,PO208679,Noah Medical U.S.,10,0,10,40,Accessory:Cbl-MHF-RP_SMAF-30CM,A800,40,WH01S-NTA
,Sales Order,03/05/2025,12/26/2025,,Net 30,04/04/2025,SO-20250332,PO208679,Noah Medical U.S.,2,0,2,8,Accessory:Cbl-MHF-RP_SMAF-30CM,A800,8,WH01S-NTA
