Order Date,Ship Date,QB Num,P. O. #,Name,Qty(-),Qty(+),Item,Inventory Site,Remark
2025/09/22,2025/10/8,POD-251352,SO-20251333,Neousys Technology Incorp.,0,5,Dmpbr-Nuvo9160,WH01S-NTA,SO25090380
2025/09/22,2025/10/8,POD-251353,,Neousys Technology Incorp.,0,1,i5-8500T,WH01S-NTA,SO25090383
2025/09/22,2025/10/8,POD-251353,,Neousys Technology Incorp.,0,2,PA-280W-CW6P-2P,WH01S-NTA,SO25090383
2025/09/23,2025/10/8,POD-251358,SO-20251335,Neousys Technology Incorp.,0,2,Cbl-TpCPlug-UTpCF-50CM,WH01S-NTA,SO25090406
2025/09/23,2025/10/8,POD-251359,,Neousys Technology Incorp.,0,25,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA,SO25090407
2025/09/23,2025/10/8,POD-251360,SO-20251341,Neousys Technology Incorp.,0,1,Core Ultra 9 285,WH01S-NTA,SO25090408
2025/09/23,2025/10/8,POD-251360,SO-20251341,Neousys Technology Incorp.,0,1,SSD-512GB-TLC5-PN,WH01S-NTA,SO25090408
2025/09/24,2025/10/16,POD-251362,SO-20251345,Neousys Technology Incorp.,0,1,Core Ultra 9 285,WH01S-NTA,SO25090432
2025/09/24,2025/10/29,POD-251363,SO-20251343,Neousys Technology Incorp.,0,1,Cblkit-NRU-171V-PPC,WH01S-NTA,SO25090433
2025/09/25,2025/10/16,POD-251368,,Neousys Technology Incorp.,0,3,Cbl-M12S4F-CordEnd4-180CM,WH01S-NTA,SO25090441
2025/09/25,2025/10/16,POD-251368,,Neousys Technology Incorp.,0,2,Cbl-M12L5F-CordEnd5-180CM,WH01S-NTA,SO25090441
2025/09/25,2025/10/16,POD-251368,,Neousys Technology Incorp.,0,3,AC-ISX031-H60,WH01S-NTA,SO25090441
2025/09/25,2025/10/16,POD-251368,,Neousys Technology Incorp.,0,1,FK-FF-CABLE-7M,WH01S-NTA,SO25090441
2025/09/25,,POD-251369,SO-20251348,Neousys Technology Incorp.,0,2,Cbl-TpCPlug-DPM-1M,WH01S-NTA,SO25090451
2025/09/25,,POD-251369,SO-20251348,Neousys Technology Incorp.,0,2,Cbl-TpCPlug-U3TA-50CM,WH01S-NTA,SO25090451
2025/09/25,,POD-251369,SO-20251348,Neousys Technology Incorp.,0,2,Cbl-TpCPlug-UTpCF-50CM,WH01S-NTA,SO25090451
2025/09/25,,POD-251369,SO-20251348,Neousys Technology Incorp.,0,1,Cblkit-M12-SEMIL2000,WH01S-NTA,SO25090451
