Order Date,QB Num,P. O. #,Name,Qty(+),Item,Inventory Site,Deliv Date
2025/08/21,POD-251191,SO-20251174,,6.0,DtC-M12-WP,WH01S-NTA,
2025/08/21,POD-251191,SO-20251174,,2.0,Pnl-3M12-2Ant-SEMIL20,WH01S-NTA,
2025/08/21,POD-251191,SO-20251174,,2.0,E-mPCIe-BTWifi-WT-6218_Mod_40CM,WH01S-NTA,
2025/08/21,POD-251191,SO-20251174,,4.0,SSD-1TB-TLC5WT-TD,WH01S-NTA,
2025/08/21,POD-251191,SO-20251174,,2.0,mPCIe-DIO-0D01,WH01S-NTA,
2025/08/21,POD-251191,SO-20251174,,2.0,i9-14900,WH01S-NTA,
2025/08/21,POD-251191,SO-20251174,,2.0,mPCIe-COM-2RS422/485-X202,WH01S-NTA,
2025/08/26,POD-251212,,Neousys Technology Incorp.,10.0,DDR5-8GB-56WT-SM,WH01S-NTA,
2025/08/28,POD-251229,SO-20251228,Neousys Technology Incorp.,3.0,M.280-SSD-2TB-PCIe44-TLC5WT-TD,WH02D-NTA,
2025/08/28,POD-251229,SO-20251228,Neousys Technology Incorp.,3.0,SEMIL-1708,WH02D-NTA,
2025/08/28,POD-251229,SO-20251228,Neousys Technology Incorp.,3.0,PA-280W-CW6P-2P,WH02D-NTA,
2025/08/28,POD-251229,SO-20251228,Neousys Technology Incorp.,6.0,DDR4-32GB-ECC26WT-DL,WH02D-NTA,
2025/08/28,POD-251229,SO-20251228,Neousys Technology Incorp.,2.0,DDR4-32GB-ECC32WT-IK,WH02D-NTA,
2025/08/28,POD-251229,SO-20251228,Neousys Technology Incorp.,3.0,SSD-2TB-TLC5WT-TD,WH02D-NTA,
2025/08/28,POD-251229,SO-20251228,Neousys Technology Incorp.,2.0,DDR4-32GB-ECC32WT-SP,WH02D-NTA,
2025/08/28,POD-251229,SO-20251228,Neousys Technology Incorp.,3.0,Cblkit-M12-SEMIL1708,WH02D-NTA,
2025/08/28,POD-251229,SO-20251228,Neousys Technology Incorp.,2.0,DDR4-32GB-ECC32WT-TD,WH02D-NTA,
2025/08/28,POD-251229,SO-20251228,Neousys Technology Incorp.,3.0,E-2278GE,WH02D-NTA,
2025/08/28,POD-251229,SO-20251228,Neousys Technology Incorp.,2.0,DDR4-32GB-ECC32WT-SM,WH02D-NTA,
2025/08/28,POD-251229,SO-20251228,Neousys Technology Incorp.,3.0,Cbl-PC-TW-180CM1,WH02D-NTA,
2025/08/29,POD-251238,SO-20251222,Neousys Technology Incorp.,9.0,GC-Jetson-AGX64GB-Orin-Nvidia,WH01S-NTA,
2025/08/29,POD-251238,SO-20251222,Neousys Technology Incorp.,9.0,M.280-SSD-2TB-PCIe44-TLC5WT-TD,WH01S-NTA,
2025/08/29,POD-251238,SO-20251222,Neousys Technology Incorp.,7.0,M.280-SSD-2TB-PCIe44-TLC5WT-TD,WH01S-NTA,
2025/08/29,POD-251238,SO-20251222,Neousys Technology Incorp.,9.0,NRU-230V-AWP,WH01S-NTA,
2025/08/29,POD-251238,SO-20251222,Neousys Technology Incorp.,7.0,GC-J-A64GB-O-Industrial-Nvidia,WH01S-NTA,
2025/08/29,POD-251238,SO-20251222,Neousys Technology Incorp.,7.0,NRU-230V-AWP,WH01S-NTA,
2025/09/01,POD-251251,SO-20251236,Neousys Technology Incorp.,4.0,DDR5-32GB-48WT-SM,WH01S-NTA,
2025/09/01,POD-251251,SO-20251236,Neousys Technology Incorp.,2.0,M.280-SSD-1TB-PCIe44-TLC5WT-TD,WH01S-NTA,
2025/09/01,POD-251251,SO-20251236,Neousys Technology Incorp.,2.0,i9-14900,WH01S-NTA,
2025/09/01,POD-251251,SO-20251236,Neousys Technology Incorp.,2.0,SEMIL-2007,WH01S-NTA,
2025/09/01,POD-251251,SO-20251236,Neousys Technology Incorp.,2.0,SSD-2TB-TLC5WT-TD,WH01S-NTA,
2025/09/04,POD-251261,SO-20251248,Neousys Technology Incorp.,3.0,i9-13900E,WH01S-NTA,
2025/09/04,POD-251261,SO-20251248,Neousys Technology Incorp.,3.0,SEMIL-2047GC-CRL,WH01S-NTA,
2025/09/04,POD-251261,SO-20251248,Neousys Technology Incorp.,6.0,DDR5-32GB-48WT-SM,WH01S-NTA,
2025/09/04,POD-251261,SO-20251248,Neousys Technology Incorp.,3.0,Cbl-W20F-2M12A10F-40CM-IK-COM,WH01S-NTA,
2025/09/04,POD-251261,SO-20251248,Neousys Technology Incorp.,12.0,Cbl-W5M-M12A5F-40CM-PK-CANFD-TP,WH01S-NTA,
2025/09/04,POD-251261,SO-20251248,Neousys Technology Incorp.,3.0,mPCIe-COM-4RS232/422/485-X404,WH01S-NTA,
2025/09/04,POD-251261,SO-20251248,Neousys Technology Incorp.,6.0,SSD-2TB-TLC5WT-TD,WH01S-NTA,
2025/09/04,POD-251261,SO-20251248,Neousys Technology Incorp.,18.0,DtC-M12-WP,WH01S-NTA,
2025/09/04,POD-251261,SO-20251248,Neousys Technology Incorp.,3.0,M.280-SSD-4TB-PCIe4-TLCWT5NH-IK,WH01S-NTA,
2025/09/08,POD-251278,SO-20251260,Neousys Technology Incorp.,20.0,Nuvo-7006LP,WH01S-NTA,
2025/09/08,POD-251278,SO-20251260,Neousys Technology Incorp.,20.0,i7-9700E,WH01S-NTA,
2025/09/08,POD-251278,SO-20251260,Neousys Technology Incorp.,20.0,DDR4-16GB-32-SM,WH01S-NTA,
2025/09/08,POD-251286,SO-20251153,Neousys Technology Incorp.,7.0,i9-14900,WH01S-NTA,
2025/09/08,POD-251286,SO-20251153,Neousys Technology Incorp.,14.0,DDR5-16GB-56WT-SM,WH01S-NTA,
2025/09/08,POD-251286,SO-20251153,Neousys Technology Incorp.,7.0,M.280-SSD-2TB-PCIe44-TLC5WT-TD,WH01S-NTA,
2025/09/08,POD-251286,SO-20251153,Neousys Technology Incorp.,7.0,SEMIL-2047GC,WH01S-NTA,
2025/09/09,POD-251293,SO-20251285,Neousys Technology Incorp.,2.0,nan,,
2025/09/09,POD-251293,SO-20251285,Neousys Technology Incorp.,1.0,nan,,
2025/09/12,POD-251307,SO-20251290,Neousys Technology Incorp.,1.0,GC-Jetson-AGX64GB-Orin-Nvidia,WH01S-NTA,
2025/09/12,POD-251307,SO-20251290,Neousys Technology Incorp.,1.0,NRU-220S,WH01S-NTA,
2025/09/12,POD-251308,SO-20251259,Neousys Technology Incorp.,1.0,Nuvo-10007-CTI,WH01S-NTA,
2025/09/12,POD-251308,SO-20251259,Neousys Technology Incorp.,2.0,SSD-512GB-TLC5WT-TD,WH01S-NTA,
