Order Date,Ship Date,QB Num,P. O. #,Name,Qty(+),Qty(-),Item,Inventory Site,Remark,Pre/Bare
2025/08/28,2025/10/21,SO-20251229,CYNGN-1275,CYNGN INC.,0,8.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA,,Out
2025/09/26,2025/11/04,SO-20251369,165320,"Northbay Networks, Inc.",0,8.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA,,Out
2025/10/01,2025/11/07,SO-20251405,PO01892,Jet Stream Systems Inc.,0,1.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA,,Out
2025/10/06,2025/10/28,SO-20251432,QTD_Boson_250923,Boson Motors,0,4.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA,,Out
2025/10/10,2025/10/28,SO-20251453,QTD_Metal Minds_2510072,Metal Minds,0,3.0,Cbl-MHF4-SMAF-15CM,WH01S-NTA,,Out
2025/08/19,2025/10/17,SO-20251175,612452,"Uber Technologies, Inc.",0,60.0,Cbl-MHF4-SMAF-30CM,WH01S-NTA,,Out
2025/08/19,2025/10/24,SO-20251176,612452,"Uber Technologies, Inc.",0,60.0,Cbl-MHF4-SMAF-30CM,WH01S-NTA,,Out
2025/08/19,2025/10/24,SO-20251177,612452,"Uber Technologies, Inc.",0,60.0,Cbl-MHF4-SMAF-30CM,WH01S-NTA,,Out
2025/08/19,2025/11/14,SO-20251179,612452,"Uber Technologies, Inc.",0,60.0,Cbl-MHF4-SMAF-30CM,WH01S-NTA,,Out
2025/08/19,2025/11/14,SO-20251178,612452,"Uber Technologies, Inc.",0,75.0,Cbl-MHF4-SMAF-30CM,WH01S-NTA,,Out
2025/09/26,2025/11/04,SO-20251369,165320,"Northbay Networks, Inc.",0,12.0,Cbl-MHF4-SMAF-30CM,WH01S-NTA,,Out
2025/09/30,2025/12/31,SO-20251392,QTD_Greenzie_250924,Greenzie,0,15.0,Cbl-MHF4-SMAF-30CM,WH01S-NTA,,Out
2025/07/23,2026/01/08,SO-20251044,4500139970,Cognex Corporation,0,5.0,Cbl-S68M-S68M-100CM,WH01S-NTA,,Out
2025/10/01,2025/11/07,SO-20251405,PO01892,Jet Stream Systems Inc.,0,1.0,Cbl-S68M-S68M-100CM,WH01S-NTA,,Out
2025/08/19,2025/11/07,SO-20251174,7291,Near Earth Autonomy,0,2.0,Cbl-W10F-2M12A8F-40CM-IK-COM,WH01S-NTA,,Out
2025/09/03,2025/10/31,SO-20251248,PO-0138392,Carnegie Robotics LLC,0,3.0,Cbl-W20F-2M12A10F-40CM-IK-COM,WH01S-NTA,,Out
2025/09/30,2025/12/31,SO-20251390,455802,Navico Group Americas LLC,0,1.0,Cbl-W20F-M12A10F-40CM-IK-COM,WH01S-NTA,,Out
2025/08/19,2025/11/07,SO-20251174,7291,Near Earth Autonomy,0,2.0,Cbl-W40M-M12A8F-40CM-IK-DIO1,WH01S-NTA,,Out
